1007 Lausanne	(46.516054, 6.608998000000001)
Riedweg 35, Wiestistrasse 2, 3920 Zermatt	(46.02182899999999, 7.751722999999998)
Riehenring; 4057, Basel	(47.57486000000001, 7.59889)
Ritterquai 10, 4500 Solothurn	(47.2070892, 7.539719499999999)
Route Cantonale, 1015 Lausanne	(46.5208057, 6.5839813)
Route de Genève 10; 1003, Lausanne	(46.5219488, 6.628663299999999)
Route de Soleure 25; 2740, Moutier	(47.28101999999999, 7.386391599999998)
Route de la Fonderie 13; 700, Fribourg	(46.7950196, 7.1513813)
Route de la Fonderie 7, 1700 Fribourg	(46.7947637, 7.153334300000001)
Route des Barzettes - 3963 Crans Montana	(46.32168859999999, 7.501700199999999)
Route des Jeunes 13; 1227, Acacias	(46.18546839999999, 6.1294377)
Route des Jeunes 6, Geneva, 1227	(46.1870134, 6.1258865)
Route des échutes 14; 1950, Sion	(46.2366961, 7.3760694)
Rte de Lacs 9, 3960 Sierre	(46.2933298, 7.537770000000001)
Rue Alexandre Schöni - 2503 Biel/Bienne -   Bern -	(47.1373644, 7.2500887)
Rue Bovy-Lysberg 1; 1204, Genève	(46.2016163, 6.1405765)
Rue Centrale 17, 3963 Crans-Montana	(46.3058281, 7.468555699999998)
Rue Centrale 2; 1580, Avenches	(46.8807413, 7.0419417)
Rue Centrale 42, 3963 Crans-Montana	(46.3065506, 7.468899599999999)
Rue Centrale 54, 2502, Biel	(47.1357294, 7.247614999999999)
Rue Emile-Boéchat 71, 2800 Delémont	(47.36114140000001, 7.354992200000001)
Rue Henry-Grandjean 1, 2400 Le Locle	(47.0567867, 6.7465749)
Rue Jean-François Bartholoni 10, 1204 Genève	(46.2005, 6.1423)
Rue Louis-Antille 7, 3963 Crans-Montana	(46.3115845, 7.480880000000001)
Rue Maunoir 14, 1207 Genève	(46.2037465, 6.160099)
Rue Patru 6, 1205 Genève	(46.1959503, 6.139980699999999)
Rue Saint-Maurice 3, 2800 Delémont	(47.3534763, 7.341199999999999)
Rue Sismondi 16; 1201, Geneva	(46.2103681, 6.1466732)
Rue St. Martin 9, 1003, Lausanne	(46.522097, 6.6369415)
Rue Vautier 13; 1227, Carouge	(46.18503819999999, 6.1424173)
Rue de Berne 47, 1201 Genève	(46.211365, 6.14652)
Rue de Bévignoux 12, 1920 Martigny	(46.10874399999999, 7.091078899999999)
Rue de Genève 10, 1003 Lausanne	(46.5219488, 6.628663299999999)
Rue de Lausanne 24; 1201, Geneva	(46.2119754, 6.1449811)
Rue de Lausanne, 1202 Genève	(46.2199093, 6.1495342)
Rue de Médran 70, 1936 Bagnes	(46.0928899, 7.233999)
Rue de Romont 29; 1007, Fribourg	(46.8045981, 7.154277599999999)
Rue de chantepoulet 1/3, 1202, Geneva	(46.2078343, 6.145385699999999)
Rue de la Coulouvrenière 26, 1204 Genève	(46.2035099, 6.1378592)
Rue de la Gare; 2882, St. Ursanne	(47.36791239999999, 7.1652866)
Rue de la Grotte 3; 1003, Lausanne	(46.5184247, 6.6340461)
Rue de la Revolution 1; 8004, Zürich	(47.3807562, 8.517289)
Rue de la Rôtisserie 10; 1204, Genève	(46.2026794, 6.146486099999999)
Rue de la Servette 2; 1201, Geneva	(46.20930740000001, 6.139700599999999)
Rue de la Tour 4, 1004 Lausanne	(46.5235393, 6.629669100000001)
Rue de la Vigie 5, 1003 Lausanne	(46.5217952, 6.624794899999999)
Rue de l’Etang 21; 1630, Bulle	(46.6262707, 7.067096199999999)
Rue des Bains 34, Geneva	(46.1993772, 6.1375538)
Rue des Grands-Vergers, 1957 Ardon, CH	(46.210966, 7.255954399999999)
Rue des Moulins 14, 2800 Delémont	(47.3644255, 7.344873199999999)
Rue des Terreaux 7, 2000 Neuchâtel	(46.99246949999999, 6.9302771)
Rue des vieux Grenadiers 8-10; 1205, Genève	(46.1985948, 6.138362799999999)
Rue du 23-juin 23; 2800, Delémont	(47.36505209999999, 7.343305000000001)
