,artist
631,Teo Gheorghiu
632,Martin Heini
633,Praxedis Genevieve Hug
634,Matthias Ziegler
635,Christoph Baumann
636,Reto Senn
637,Adamstown
638,James Taylor & Band
639,Joey DeFrancesco
640,Dan Wilson
641,Jason Brown
642,Dr. Lonnie Smith
643,Dr. Lonnie Smith
644,Jonathan Kreisberg
645,Joe Dyson
646,Dorit Chrysler
647,Juliane Banse
648,Sabine Meyer
649,Aleksandar Madzar
650,Ariel Pink
651,Emmanuel Pahud
652,Jeff Turner Band
653,Miss Kenichi
654,The Preatures
655,Tom Lüneburger
656,Lilabungalow
657,René Kolditz
658,David Bönsch
659,Désirée Pousaz
660,Vreni Rotzer
661,Fíona-Aileen Kraege
662,Julia Malkova
663,Eva Lüthi
664,Matteo Burci
665,Sakura Kindynis
666,Bernhard Röthlisberger
667,Gabor Horváth
668,Heidrun Wirth-Metzler
669,Olivier Darbellay
670,Anja Röhn
671,Patrizia Pacozzi
672,Katrin Burger
673,Begleitung: Werner Schaffitz
674,Vladimir Guryanov
675,Cosetta Ponte
676,Ferdinado Vietti
677,Andrey Smirnov
678,Ewa Wolak
679,Markus Eiche
680,L. Kiepenheuer
681,J. Scherrer
682,A. Powischer
683,L. Weiss
684,J. Pilgram
685,Marisa Waldburger
686,Marc Bätscher
687,Ursula Hächler
688,Jason Paul Peterson
689,Marina Yakovleva
690,Michail Yakovlev
691,Aranka Stimec
692,Ellen Mross
693,Toni Lauper
694,Dirk Lenz
695,Chelsea Grin
696,Veil Of Maya
697,Black Tongue
698,Oceans Ate Alaska
699,Eric Alexander
700,Helmut Kagerer
701,Olivier Hutman
702,Viktor Nyberg
703,Bernd Reiter
704,Vincent Peirani
705,Emile Parisien
706,Julien Herné
707,Yoann Serra
708,Tony Paeleman
709,Kool Savas
710,Saint Motel
711,Omri Ziegele
712,Yves Theiler
713,Gerry Hemingway
714,Andreas Jost
715,Dela Hüttner
716,Ingrid Alexandre
717,Michael Feyfar
718,Chasper-Curò Mani
719,Andreas Jost
720,Rebeka Rusó
721,Juán Sebastián Lima
722,Susanne Doll
723,Stone Love Movement
724,DJs Quarion
725,Sarah Kollé
726,Cameron Carpenter
727,
728,Elisabeth Kufferath
729,Hanna Weinmeister
730,Tanja Tetzlaff
731,Ohad Talmor
732,Dan Weiss
733,Ekaterina Kofanova
734,Daniel Schenker
735,Reto Suhner
736,Christoph Grab
737,Bernhard Bamert
738,Thomas Lüscher
739,Cristina López
740,Yadira Ferrer
741,Marc López
742,Juan Manuel Gómez
743,Pablo Gómez
744,Carlos Cuenca
745,Digable Planets
746,The Quireboys
747,Kaspar Rast
748,Thomy Jordi
749,Sha
750,The Slow Show
751,Annihilator
752,Andy Scherrer
753,Jean-Paul Brodbeck
754,Fabian Gisler
755,Claudio Strüby
756,Bernhoft
757,Adrian Younge
758,Loren Oden
759,Jack Waterson
760,Alfredo Fratti
761,C. E. Garcia
762,David Henderson
763,Benjamin Folke Thomas
764,Daniel Bisig
765,Charlotte Nachtsheim
766,Stefan Kahle
767,Babette Mondry
768,Azad
769,Pekka Kuusisto
770,Popa Chubby
771,Animals and Friends
772,Alberta Cross
773,Folly & The Hunter
774,Stephen Simmons
775,Dream On Dreamer
776,Taped
777,Nicolas Stocker
778,Raphael Loher
779,Urs Müller
780,Gabriele Mirabassi
781,Roberto  Taufic
782,Cristina Renzetti
783,Isolation Berlin
784,Julian Prégardien
785,Nils Fischer
786,David Koch
787,Samuel Huwyler
788,Dominik Mahnig
789,David Sanborn
790,Christian Mc Bride
791,Christian Sands
792,Ulysses Owens
793,Madison Violet
794,Ulrike Mayer-Spohn
795,Javier Hagen
796,Yves Theiler
797,Luca Sisera
798,Lukas Mantel
799,Lukas Wyss
800,Ricardo Fiuza
801,Stephan Kurmann
802,Marco Lobo
803,Gauthier Toux
804,Kenneth Dahl Knudsen
805,Maxence Sibille
806,Tildon Krautz
807,Mild High Club
808,Minor Victories
809,Vesuvio Solo
810,Promise Keeper
811,Arata Yumi
812,Sportfreunde Stiller
813,Hoodie Allen
814,Lonely the Brave
815,Morgan Delt
816,The Oscillation
817,Uncanny Valley
818,The Bosshoss
819,Half Moon Run
820,Rudolf Koelman
821,Crows
822,Edgarville
823,Anaemia
824,Jaako Eino Kalevi
825,Flying Horseman
826,Braziliers
827,Ropoporose
828,Werner und Company
829,Oh Wonder
830,The Slow Show
831,Fil Bo Riva
832,The Dixie Ticklers
833,The Dixie Company
834,Dixie Ticklers
835,Patricia Kopatchinskaja
836,Polina Leschenko
837,Rafael Schilt
838,Tobias Pfister
839,Alexander Seidel
840,Stanley Clark
841,Wassil Christov
842,Vicente Climent Calatayud
843,Justin Clark
844,Benjamin Jacob Green
845,Daniel Schädeli
846,Daniel Moos
847,Aldo Bertolo
848,Ramtin Ghazavi
849,Niclas Oettermann
850,Daniel Moos
851,Simon Spiess
852,Bänz Oester
853,Jonas Ruther
854,Aldo Bertolo
855,Ramtin Ghazavi
856,Niclas Oettermann
857,Moderation: Daniel Moos
858,Peter Aebersold
859,Dominik Wyss
860,Dominik Eichenberger
861,Nik Hasler
862,Dixie Company feat. Diane Davidson
863,Reinhold Friedrich
864,DJ Doug Shipton
865,Simon Wyrsch
866,Dario Bianchin
867,Uli Heinzler
868,Robert Mark
869,Vesselina Kasarova
870,Iryna Krasnovska
871,Giovanni Bellucci
872,Nicola Mosca
873,conductor: Fazil Say
874,Leitung und Werke von Fazil Say
875,Konzertmeister: Willi Zimmermann
876,Urs Walker
877,Mateusz Szcepkowski
878,David Schnee
879,Alex Jellici
880,Scott Hamilton
881,Jürg Morgenthaler
882,Alessandro d'Episcopo
883,Christoph Sprenger
884,Pius Baschnagel
885,Alvaro Soler
886,Michael Grimm
887,Laith Al-Deen
888,Shayna Steele
889,Mariann
890,Marcel
891,Christine
892,Ursula
893,Nina Stiefel
894,Philipp Saner
895,John Mayall
896,Get Your Gun
897,Fettes Brot
898,Roswitha
899,Mobb Deep
900,Lylit
901,Christiane Gnägi
902,Angela Köck
903,Hoffmaestro
904,Eliane Elias Trio feat. Marc Johnson
905,Eliane Elias
906,Rubens de La Corte
907,Marc Johnson
908,Rafael Barata
909,Markus Schönholzer
910,Robi Rüdisüli
911,King Pepe
912,Matto Kämpf
913,Marc Unternährer
914,Alexia Gardner
915,Beat Baumli
916,Lorenz Beyeler
917,Kytes
918,Two Gallants
919,Bodo Maier
920,Johannes Mielke
921,Naima Gürth
922,Severin Jenny
923,Laszlo Villanyi
924,Leprous
925,Sphere
926,Rendevous Point
927,Mark Tenger
928,Lorenzo Petrocca
929,Elmar Kluth
930,Alberto Canonico
931,Edita Gruberova
932,Rea Dubach
933,Nico Van Wersch
934,Lukas Rutzen
935,Wojtek Bajda
936,Utku Tavil
937,Tomasso Detesta
938,James Arthur
939,Cristian Lanza
940,Christian Wolfarth
941,Matthias Spillmann
942,Bernhard Bamert
943,Andreas Tschopp
944,Ronny Graupe
945,Julian Sartorius
946,Connan Mockasin
947,Cedric Gschwind
948,Jonas Windscheid
949,Fabian Gisler
950,Daniel Mudrack
951,Ines Florin
952,Ralph Schön
953,Kelley Stoltz
954,Oliver Töngi
955,Marianne Racine
956,Vera Kappeler
957,Madball
958,Terror
959,Comeback Kid
960,Your Demise
961,AYS
962,The Setup
963,Gideon
964,support: Fathoms
965,Here Lies A Warning
966,Varvara Nepomnyashchaya
967,Brigitte Fournier
968,Rolf Romei
969,Daniel Lichti
970,Peter Hook & The Light
971,The Lucky & Tamara Peterson Band
972,Lucky Peterson
973,Tamara Peterson
974,Shawn Kellerman
975,Tim Waites
976,Raul Valdes
977,Daniel Lichti
978,Kvelertak
979,Truckfighters
980,El Doom & The Born Electric
981,Jeff Hamilton
982,Tamir Hendelman
983,Christoph Luty
984,-M-
985,Hauschka & Samuli Kosminen
986,Los Acuña
987,Vinicio Capossela
988,Raúl Midón
989,Micaela Grau Durán
990,
991,Dominik Dolega
992,Anna Röser
993,Jo Flüeler
994,Faritamo Susi
995,Rishin Singh
996,Jason Kahn
997,Johannes Enders
998,Paolo Thorsen-Nagel
999,Rainer Böhm
1000,Arne Huber
1001,Daniel Mudrack
1002,Hermeto Pascoal & Group
1003,Hermeto Pascoal
1004,Aline Morena
1005,Itiberê Zwarg
1006,André Marques
1007,Dario Meier
1008,Mathieu Voisard
