,artist,genres_spotify,genres_ra,main_genres,top3_genres,genre
440,Daniel Hope,"['choral', 'classical performance', 'compositional ambient', 'minimal', 'violin']",,,,
441,Nancy Wu,None,,,,
442,Lawrence Power,None,,,,
443,Jonathan Cohen,None,,,,
444,Marie-Elisabeth Hecker,None,,,,
445,Leigh Mesh,None,,,,
446,Anne Sofie von Otter,"['cabaret', 'choral', 'classical', 'classical performance', 'classical piano', 'harpsichord', 'opera', 'operatic pop', 'orchestral', 'violin']",,,,
447,Simon Crawford-Phillips,None,,,,
448,Martin Helmchen,['concert piano'],,,,
449,Archive,"['electronic', 'trip hop']",,,,
450,Meshell Ndegeocello,"['indie r&b', 'neo soul', 'urban contemporary']",,,,
451,Chris Bruce,None,,,,
452,Jebin Bruni,None,,,,
453,Earl Harvin,None,,,,
454,Konshens,['dancehall'],,,,
455,John DiBoy,None,,,,
456,Works by Peter Appenzeller,None,,,,
457,Orchester der Suworow Militärakademie Moskau,None,,,,
458,Shanghai Jiangzhou Drum Company,None,,,,
459,New Zealand Army Band,None,,,,
460,Monte Carlo,None,,,,
461,Tatjana Bucher,None,,,,
462,Daniel Notter,None,,,,
463,Hannes Hänggli,None,,,,
464,Jürgen Drews,"['discofox', 'europop', 'german pop', 'schlager']",,,,
465,Philippe Litzler,None,,,,
466,Heinz Saurer,None,,,,
467,Paulo Muñoz-Toledo,None,,,,
468,Seth Quistad,None,,,,
469,Bill Thomas,None,,,,
470,Thomas Achermann,None,,,,
471,Andi Seidt,None,,,,
472,Martin Zangerl,None,,,,
473,Raphael Christen,None,,,,
474,Anna Katharina Künzi,None,,,,
475,Simon Witzig,None,,,,
476,Tomas Grossenbacher,None,,,,
477,Renato Kaiser,['swiss hip hop'],,,,
478,Christiane Engel,None,,,,
479,Manuel Leuenberger,None,,,,
480,Die Amigos,"['discofox', 'schlager', 'volksmusik']",,,,
481,Amélie Gehweiler,None,,,,
482,Isabel Gehweiler,None,,,,
483,Marret Popp,None,,,,
484,Sandro Müller,None,,,,
485,Barbara Müller,None,,,,
486,Adrien Pièce,None,,,,
487,Maria C. Schmid,None,,,,
488,Tino Brütsch,None,,,,
489,René Perler,None,,,,
490,Res Kielholz,None,,,,
491,Andreas Pantli,None,,,,
492,Regula Konrad,None,,,,
493,Pamina Blum,None,,,,
494,Eriko Wakita,None,,,,
495,Praxedis Hug-Rütti,None,,,,
496,Praxedis Geneviève Hug,None,,,,
497,Willi Zimmermann,None,,,,
498,Romano Drom,['balkan brass'],,,,
499,Juan De Gloria,None,,,,
500,Yaron Hermann & Adam Baldych Duo,None,,,,
501,Yaron Hermann,None,,,,
502,Adam Baldych,"['contemporary jazz', 'dark jazz', 'fourth world', 'polish jazz']",,,,
503,Benjamin Forster,None,,,,
504,Klaus Schwärzler,None,,,,
505,Malcolm Bilson,['classical piano'],,,,
506,Zvi Meniker,None,,,,
507,Ruth Holton,None,,,,
508,Franco Battiato,"['experimental', 'italian arena pop', 'italian pop']",,,,
509,Ustad Shafqat Ali Khan,None,,,,
510,Ann Allen,None,,,,
511,Corina Marti,None,,,,
512,Caroline Ritchie,None,,,,
513,works by Ann Allen,None,,,,
514,Jakub Savytsky,None,,,,
515,Anna Dzialak Savytsky,None,,,,
516,Anna Stephány,None,,,,
517,Alana Amram & The Rough Gems,None,,,,
518,Hackensaw Boys,"['bluegrass', 'new americana', 'old-time', 'progressive bluegrass']",,,,
519,Trentemøller,"['alternative dance', 'danish pop', 'electronic', 'indietronica', 'microhouse', 'minimal techno', 'new rave', 'synthpop', 'tech house', 'trip hop']",,,,
520,Leila Martial Baa Box,None,,,,
521,Sylvan Esso,"['chamber pop', 'chillwave', 'etherpop', 'folk-pop', 'indie folk', 'indie pop', 'indie r&b', 'indie rock', 'indietronica', 'shimmer pop', 'synthpop']",,,,
522,Oliver Töngi,None,,,,
523,Alestorm,"['comic', 'folk metal', 'melodic death metal', 'metal', 'power metal', 'progressive metal', 'speed metal', 'viking metal']",,,,
524,Arkona,"['folk metal', 'medieval', 'power metal', 'slavic metal', 'symphonic metal', 'viking metal']",,,,
525,Thyrfing,"['black metal', 'folk metal', 'melodic death metal', 'pagan black metal', 'swedish metal', 'symphonic black metal', 'viking metal']",,,,
526,Ex Deo,"['canadian metal', 'folk metal', 'melodic death metal', 'symphonic black metal', 'viking metal']",,,,
527,Wolfchant,"['folk metal', 'german metal', 'medieval rock', 'melodic death metal', 'viking metal']",,,,
528,Borholm,None,,,,
529,Marianne Racine,None,,,,
530,Daniel Baschnagel,None,,,,
531,Werner Bärtschi,None,,,,
532,Emerson String Quartet,"['choral', 'classical', 'classical performance', 'classical piano', 'modern classical', 'orchestral', 'string quartet', 'violin']",,,,
533,Born Of Osiris,"['death core', 'djent', 'groove metal', 'melodic metalcore', 'metalcore', 'rap metal', 'screamo']",,,,
534,After The Burial,"['death core', 'djent', 'groove metal', 'mathcore', 'melodic metalcore', 'metalcore', 'rap metal', 'screamo']",,,,
535,The Haarp Machine,['djent'],,,,
536,Monuments,"['djent', 'jazz metal']",,,,
537,Mates of Mine,None,,,,
538,Jonathan Kreisberg,"['contemporary jazz', 'deep jazz guitar', 'jazz fusion']",,,,
539,Will Vinson,None,,,,
540,Rick Rosato,None,,,,
541,Colin Stranahan,None,,,,
542,Amaral,"['cantautor', 'latin', 'latin pop', 'rock en espanol', 'spanish pop', 'spanish pop rock', 'spanish rock']",,,,
543,Eva Amaral,None,,,,
544,Juan Aguirre,None,,,,
545,Julieta Venegas,"['latin', 'latin alternative', 'latin pop', 'rock en espanol', 'spanish pop']",,,,
546,Eveleen Olsen,None,,,,
547,Annette Kappeler,None,,,,
548,Verena Zauner,None,,,,
549,Emanuel Schmelzer,None,,,,
550,Stefanie Suhner,None,,,,
551,Andreas Lareida,['indie jazz'],,,,
552,Lucca Fries,None,,,,
553,Moritz Meyer,None,,,,
554,Ramón Oliveras,None,,,,
555,Aurea Marston,None,,,,
556,Kim Bartlett,None,,,,
557,Guido Friebel,None,,,,
558,Peter Mächler,None,,,,
559,Antoine Läng,None,,,,
560,Shane Perlowin,None,,,,
561,Vincent Membrez,None,,,,
562,Raphael Ortis,None,,,,
563,Lionel Friedli,None,,,,
564,Carmen Souza - Kachupada,None,,,,
565,Carmen Souza,['morna'],,,,
566,Theo Pascal,None,,,,
567,Filipe Melo,None,,,,
568,Mauricio Zottarelli,None,,,,
569,Marc Copland,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'deep jazz piano', 'italian jazz']",,,,
570,Daniel Schläppi,None,,,,
571,Michael Zisman,None,,,,
572,Philip Henzi,None,,,,
573,Lorenz Beyeler,None,,,,
574,Tobias Friedli,None,,,,
575,The Lumineers,"['folk-pop', 'indie folk', 'indie pop', 'neo mellow', 'pop', 'stomp and holler']",,,,
576,Langhorne Slim,"['alternative country', 'anti-folk', 'chamber pop', 'deep new americana', 'folk-pop', 'indie folk', 'indie pop', 'modern blues', 'new americana', 'progressive bluegrass', 'roots rock', 'stomp and holler']",,,,
577,Rumbero,None,,,,
578,Girls Names,"['chamber psych', 'garage psych', 'noise pop', 'northern irish indie', 'nu gaze', 'popgaze', 'preverb']",,,,
579,Schnaak,None,,,,
580,Jan Schlegel,None,,,,
581,Christian Weber,['pop house'],,,,
582,Stefan Meier,None,,,,
583,Julia Malkova,None,,,,
584,Alexander Kaganovsky,None,,,,
585,Rebecca Spiteri,None,,,,
