location,event,date,artists,genre,coordinates
Baden,Latin-Music-Quartet-&-Fabio-Freire,2015-06-13,"['Latin Music Quartet & Fabio Freire ', ' Fabio Freire ', ' Madlen Donadio ', ' Moreno Donadio ', ' Toni Donadio ']",,"(47.47288, 8.308089999999998)"
Bern,Pupy-y-los-que-son-son,2015-06-13,['Pupy y los que son son '],,"(46.9479739, 7.447446800000001)"
Zürich,Mettiwetti,2015-06-13,['Mettiwetti '],Pop,"(47.3768866, 8.541694)"
Rubigen,Polo-Hofer-&-Die-Band-ausverkauft,2015-06-13,"[' Polo Hofer ', ' H.P. Brüggemann ', ' Mario Capitanio ', ' Peter Enderli ', ' Marc Gerber ', ' Andi Hug ']",Pop,"(46.8999997, 7.543245300000002)"
Frick,Rude-Rich-&-Amsterdam-Faya-Allstars,2015-06-13,['Rude Rich & Amsterdam Faya Allstars '],,"(47.50851970000001, 8.018672700000002)"
Basel,Go!-C!-Art!-Opening-Party,2015-06-13,['Frank Castro '],Pop,"(47.55959860000001, 7.588576099999999)"
Dübendorf,Papeete-on-Tour,2015-06-13,['DJs Marco Cavax & MC Maicol '],,"(47.3971476, 8.618012799999999)"
Basel,Klingelingeling,2013-12-07,"[' Vesselina Kasarova ', ' Nuria Rial ', ' Agata Wilewska ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Offenes-Adventssingen,2013-12-07,[' Margrit Fluor '],Classic,"(47.3768866, 8.541694)"
Thun,Culturescapes,2013-12-07,['Damir Imamovic '],,"(46.7579868, 7.6279881)"
Basel,Benefizkonzert-Horizonta,2013-12-07,"['Aglaia Graf ', ' Peter Heer ']",Classic,"(47.55959860000001, 7.588576099999999)"
Winterthur,Eine-Oboe-in-der-Oper,2013-12-07,[' conductor: François Leleux '],Classic,"(47.49881959999999, 8.723688899999999)"
Zürich,Adventskonzert,2013-12-07,"['Conrad Zwicky ', ' Salome Zwicky ']",Classic,"(47.3768866, 8.541694)"
Luzern,Piano-Entertainment,2013-12-07,['Mega Horvath '],,"(47.05016819999999, 8.309307200000001)"
Basel,Kastraten-in-der-Barockoper,2013-12-07,[' Flavio Ferri-Benedetti '],Classic,"(47.55959860000001, 7.588576099999999)"
Fri-Son,null,2013-12-07,['Babyshambles '],Babyshambles,"(46.79491549999999, 7.151835299999999)"
Widen,Zwischen-Himmel-und-Erde,2013-12-07,"[' Patricia Meier ', ' Vincent Zurkinden ']",,"(47.36804739999999, 8.363064800000002)"
Basel,Paradise-Lost,2013-12-07,"[' Carmela Konrad ', ' Anne-Florence Marbot ', ' Silke Gäng ']",Classic,"(47.55959860000001, 7.588576099999999)"
Dietikon,Gitarre-&-Klavier,2013-12-07,"['Mariam Boccali ', ' Natalie Haupt ']",,"(47.4053885, 8.39977)"
Zürich,The-Fratellis,2013-12-07,['The Fratellis '],,"(47.3768866, 8.541694)"
Landquart,Die-Amigos,2013-12-07,['Die Amigos '],traditional,"(46.9681937, 9.5626299)"
Zürich,In-die-Tiefe-der-Zeit,2013-12-07,"[' Luka Juhart ', ' Thomas Demenga ']",Classic,"(47.3768866, 8.541694)"
