artists,date,event,genre,location
"[' Lisa Hasler ', ' Florian Möbes ', ' Oliver Illi ', ' Colin Vallon ', ' Florian Keller ', ' Christian Spahni ', ' Dejan Terzic ']",2013-01-14,Projektwoche-Jazz,"['Jazz', 'Blues', 'Soul']",Bern
['Roberto Plano '],2013-01-15,Lange-Nacht-der-Klaviermusik,['Classic'],Zürich
"[' Dave Ruosch ', ' Kalli Gerhards ', ' Martin Meyer ']",2013-01-15,Ruosch-Gerhards-Meyer,"['Jazz', 'Blues', 'Soul']",Zürich
[' Emmanuel Pahud '],2013-01-15,Migros-Kulturprozent-Classics,['Classic'],Zürich
['Juilliard String Quartet '],2013-01-15,Kammermusik-Basel,['Classic'],Basel
"['Noëmi Nadelmann ', ' André Desponds ']",2013-01-15,Soirée-classique,['Classic'],Olten
"['Enter Shikari ', ' Cancer Bats ']",2013-01-15,Enter-Shikari,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
['Trey Songz '],2013-01-15,Zürich,"['Trey', 'Songz']",Volkshaus
['The Black Atlantic '],2013-01-15,null,"['The', 'Black', 'Atlantic']",Fri-Son
"[' Lisa Hasler ', ' Florian Möbes ', ' Florian Keller ', ' Christian Spahni ', ' Oliver Illi ']",2013-01-15,Projektwoche-Jazz,"['Jazz', 'Blues', 'Soul']",Bern
"[' Josquin Rosset ', ' Gabriel Meyer ', ' Jan Geiger ']",2013-01-15,Suisse-Diagonales-Jazz,"['Jazz', 'Blues', 'Soul']",Zürich
"[' Adrian Mears ', ' Christoph Neuhaus ', ' Niko Seibold ', ' Volker Engelberth ', ' Judith Goldbach ', ' Mareike Wiening ']",2013-01-15,Christoph-Neuhaus-Quintet-feat.-Adrian-Mears,"['Jazz', 'Blues', 'Soul']",Basel
['Skinny Lister '],2013-01-15,Skinny-Lister,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
"['Martina Schucan ', ' Eckart Heiligers ']",2013-01-16,Mittagsmusik,['Classic'],Zürich
"['Aurel Hassler ', ' Christian Winiker ', ' Mani Zweili ', ' Mike Malloth ']",2013-01-16,Jam-Night,"['Hip', 'Hop', ""R'n'B""]",Luzern
[' Jens Peter Maintz '],2013-01-16,Fünftes-Sinfoniekonzert,['Classic'],Basel
[' András Schiff '],2013-01-16,Konzert,['Classic'],Zürich
[' Leila Josefowicz '],2013-01-16,Pulcinella,['Classic'],Luzern
"['Lilia Tripodi ', ' Andrey Murphy ', ' Markus Nikänen ', ' Maestro David Cowan ']",2013-01-16,Fonduta-cantante,['Classic'],Basel
