,place,src,address,location,canton,event,date,artists,genre,coordinates
6800,None,EventsCh,None,Winterthur,ZH,Kvelertak,2013-10-11,"['Kvelertak', 'Arabrot', 'Gerilja']",rock,"(47.4988196, 8.7236889)"
6900,None,EventsCh,None,Zürich,ZH,Lunchkonzert-Hommage-à-Saint-Saëns,2013-10-14,"['Andrea Kollé', 'Samuel Castro Bastos', 'Heinrich Mätzener', 'Tomas Gallart', 'Elisabeth Göring', 'Alexander Boeschoten']",orchestral,"(47.3768866, 8.541694)"
7000,None,EventsCh,None,Zürich,ZH,Irie-Révoltés,2013-10-18,"['Irie Révoltés', 'Yza Ya']",caribbean and caribbean-influenced,"(47.3768866, 8.541694)"
7100,None,EventsCh,None,Laufen,BL,Jazz-Matinee,2013-10-20,"['Peter Gottstein', 'Erich Möschler', 'Kurt Schlup', 'Werner Siegenthaler', 'Urs Brunner', 'Erwin Bieri']",,"(47.4204213, 7.5004874)"
7200,None,EventsCh,None,Düdingen,FR,Sebadoh,2013-10-23,['Sebadoh'],rock,"(46.8464198, 7.1910179)"
7300,None,EventsCh,None,Basel,BS,Trio-Räss,2013-10-25,"['Erich Fischer', 'Hannes Giger', 'Belisa Mang']",rock,"(47.5595986, 7.5885761)"
7400,None,EventsCh,None,Köniz,BE,Mich-Gerber-feat.-Al-Comet,2013-10-27,"['Mich Gerber', 'Al Comet', 'Andi Pupato', 'Wolfgang Zwiauer']",hip hop,"(46.925634, 7.4167206)"
7500,None,EventsCh,None,Zürich,ZH,Zürich,2013-10-31,['David Sanborn & Bob James Group feat. Steve Gadd'],,"(47.374774, 8.5346811)"
7600,None,EventsCh,None,None,LU,Brugglyn-Blue,2013-11-01,"['Werner Ammann', 'Warwick Richard', 'Matt Graf']",,"(47.063367, 8.2797341)"
7700,None,EventsCh,None,Zürich,ZH,CulturEscapes,2013-11-03,"['Damir Imamovic Sevdah Takht', 'Damir Imamovic', 'Nenad Kovacic', 'Ivan Mihajlovic']",electronic,"(47.3768866, 8.541694)"
7800,None,EventsCh,None,None,None,Elyas-Khan,2013-11-07,['Elyas Khan'],,"(46.6377269, 9.279877)"
7900,None,EventsCh,None,Bern,BE,Breakdown-Of-Sanity,2013-11-09,['Breakdown Of Sanity'],rock,"(46.9479739, 7.4474468)"
8000,None,EventsCh,None,None,None,Deez-Nuts,2013-11-11,"['Deez Nuts', 'Stray From The Path', 'Heart In Hand', 'Relentless']",rock,"(46.6377269, 9.279877)"
8100,None,EventsCh,None,Basel,BS,Al-Pride,2013-11-14,"['Nico Schulthess', 'Astrid Fuellemann', 'Luk Schulthess', 'Lukas Schlumpf', 'Nicolas Struchen']",pop,"(47.5595986, 7.5885761)"
8200,None,EventsCh,None,Zürich,ZH,Zephyr-Combo,2013-11-16,"['Zéphyr Combo', 'Geert Dedapper', 'Esther Nydegger', 'Ali Salvioni', 'Fridolin Blumer']",pop,"(47.3768866, 8.541694)"
8300,None,EventsCh,None,Herzogenbuchsee,BE,Bolschoi-Don-Kosakenchor,2013-11-20,['Bolschoi Don Kosakenchor'],,"(47.189468, 7.7077698)"
8400,None,EventsCh,None,Basel,BS,CulturEscapes,2013-11-22,['Dubioza Kolektiv'],caribbean and caribbean-influenced,"(47.5595986, 7.5885761)"
8500,None,EventsCh,None,Zürich,ZH,Luke-Winslow-King,2013-11-24,['Luke Winslow King'],country,"(47.3768866, 8.541694)"
8600,None,EventsCh,None,Winterthur,ZH,Kaos-Protokoll,2013-11-28,"['Marc Stucki', 'Benedikt Wieland', 'Flo Reichle']",,"(47.4988196, 8.7236889)"
8700,None,EventsCh,None,Lucerne,LU,Penguins-By-Choice,2013-11-30,['Penguins By Choice'],,"(47.0501682, 8.3093072)"
8800,None,EventsCh,None,Basel,BS,Mimiko-Ohne-Noten-mit-Beggeschmutz,2013-12-04,['Urs Höchle'],orchestral,"(47.5595986, 7.5885761)"
8900,None,EventsCh,None,Düdingen,FR,Tar-Queen,2013-12-06,['Tar Queen'],,"(46.8464198, 7.1910179)"
9000,None,EventsCh,None,Winterthur,ZH,Weihnächtliches-musikalisches-Bankett,2013-12-08,"['Elisabeth Waldmeier', 'Dieter Hubov']",orchestral,"(47.4988196, 8.7236889)"
9100,None,EventsCh,None,Aarau,AG,Adventskonzert-Der-Stern-von-Bethlehem,2013-12-12,"['Seraina Perrenoud', 'Jeanne Roth', 'Ernst Buscagne']",orchestral,"(47.390434, 8.0457015)"
