	['son']
Lena Stöhrfaktor	None
Leon Duncan	None
Leonardo Bortolotto	None
Lev Pupis	None
Liane Ehlich	None
Lilabungalow	None
Lilia Tripodi	None
Lilly Thornten Quintett	None
Lilly Thornton	None
Linah Rocio	None
Linda Campanella	None
Lino Blöchlinger	None
Linus Hunkeler	None
Lionel Friedli	None
Lionel Gafner	None
Liquid Land	None
Lisa Hasler	None
Lisa Hoppe	None
Lisa de la Salle	None
Lisette Spinnler	None
Little Feat	['rock', 'blues', 'mambo', 'country']
Ljupka Hadzigeorgieva	None
Loco Slickers	None
Lorenzo Petrocca	None
Louis Schwizgebel	['classical']
Love & Girls	['world', 'electropop']
Luca Leombruni	None
Luca Sisera	None
Lucas Niggli	None
Lucas Rössner	None
Luis Esnaola	None
Lukas Briggen	None
Lukas Gasser	None
Lukas Graham	['funk', 'soul']
Lukas Hagen	None
Lukas Heuss	None
Lukas König	None
Lukas Roos	None
Lukas Wyss	None
Luo Xiaoci	None
Luzia von Wyl	None
M.Krejcik	None
Maciré Sylla	['world', 'funk']
Madlen Donadio	None
Maersung	None
Maestro David Cowan	None
Maja Barroso Lisac	None
Malcolm Braff	None
Mani Zweili	None
Manu Hagmann	None
Manuel Buser	None
Manuel Walser	None
Marc Ducret Tower Zero	None
Marc Edwards	None
Marc Stucki	None
Marc Unternährer	None
Marcel Papaux	None
Marcel Ricklin	None
Marcel Rüegg	None
Marcello Mosca	None
Marco Käppeli	None
Marco Leali	None
Marco Müller	None
Marco Schubiger	None
Marco von Orelli	None
Marcus Rojas	['metal', 'world']
Marcus Weiss	['orchestral']
Mareike Wiening	None
Maren Kessler	None
Margaret Leng Tan	['classical']
Margit Beukman	None
Margrit Rieben	None
Maria Doyle Kennedy	['folk']
Maria Doyle Kennedy & Kieran Kennedy	None
Maria Goldschmidt	None
Maria Shabashova	None
Marian Krejcik	None
Marianne Racine	None
Marie-Odile Vigreux	None
Marilia Vargas	None
Marino Pliakas	None
Mario Giovannelli	None
Marius Peyer	None
Mark Berube	None
Mark Berube & The Patriotic Few	None
Mark Eitzel	['rock', 'trap', 'punk', 'son']
Mark Peterson	None
Mark Tenger	None
Markus Eichenberger	None
Markus Forrer	None
Markus Hochuli	None
Markus Hürsch	None
Markus Kienzl	None
Markus Nikänen	None
Markus Nykänen	None
Markus Schmied	None
Markus Schramhauser	None
Markus Wursch	None
Marsimoto Soundsystem	None
Martijn Vanbuel	None
Martin Bliggenstorfer	None
Martin Carl	None
Martin Dahanukar	None
Martin Gaisser	None
Martin Heini	None
Martin Jaggi	None
Martin Meyer	None
Martina Gmeinder	None
Martina Schucan	None
María Cecilia Muñoz	None
Mat Callahan	['rock', 'folk', 'world', 'worldbeat']
Mathew Barley	None
Mathias Bucher	None
Mathias Demmer	None
Mathias Hausmann	None
Mathias Weibel	None
Mats Eser	None
Matt MItchell	None
Matthew Lonson	None
Matthew Savnik	None
Matthias Arter	None
Matthias Grupp	None
Matthias Kohler	None
Matthias Lincke	None
Matthias Rácz	None
Matthias Sannemüller	None
Matthias Spillmann	None
Matthias Tschopp	None
Matthias Wenger	None
Matthieu Michel	None
Maurice Steger	['baroque', 'classical']
Mauro Bodio	None
Mauro Pesenti	None
Maurus Conte	None
Max Andrzejewski	None
Max Haft	None
Maxime Delporte	None
Mazrice Heugen	None
Meret Roth	None
Micha Krähenbühl	None
Michael Anklin	None
Michael Arbenz	None
Michael Beck	None
Michael Büschelmann	None
Michael Chylewski	None
Michael Feyfar	None
Michael Leherbauer	None
Michael Wollny	None
Michael Zisman	None
Michel Gsell	None
Michel Rouilly	None
Michel Wintsch	['punk', 'latin', 'ska', 'rap', 'soul', 'stride', 'swing', 'poetry', 'folk', 'blues', 'bebop', 'dixieland', 'orchestral']
Michele Maddaloni	None
Michele Siciliano	None
Michi Stulz	None
Michiko Tsuda	None
Mickie Krause	['schlager']
Micro Jackson	None
Miguel Müller	None
Mike Bischof	None
Mike Malloth	None
Mike Maloth	None
Mike Maurer	None
Miklos Perenyi	['banda', 'classical']
Minas Morgul	None
Mindflaire	None
Miriam Klein	None
Mirjana Reinhard	None
Miro Rutscho	None
Miro Steiner	None
Mischa Greull	None
Mischa Stirnimann	None
Missstand	None
Modestep	['rock', 'dubstep']
Monika Baer	None
Monika Hächler	None
Monika Mauch	None
Moose Jackson	None
Moreno Donadio	None
Moritz Müllenbach	None
Motorama	['rock', 'coldwave']
Muneer B. Fennell	None
Muriel Zemp	None
Mutiny on the Bounty	['romantic']
Mélodie Zhao	['classical', 'unknown']
Nada Anderwert	None
Naoki Kitaya	None
Napalm Death	['metal', 'hardcore', 'techno', 'grindcore', 'dub', 'punk', 'world', 'soul']
Natalie Chee	None
Nate Wood	None
Nathalie Maerten	None
Navel	['jungle', 'latin']
Nelson Goerner	None
Nic Niedermann	None
Nicholas Angelich	['classical']
Nick Gutersohn	None
Nick Nobody	None
Nicola Katz	None
Nicole Johänntgen	None
Nik Bärtsch	['funk']
Niko Seibold	None
Nina Baredi	None
Nina Rechsteiner	None
Nino Lentini	None
Nino Wenger	None
Norbert Ackermann	None
Norbert Pfammater	None
Noémie Cotton	None
Noëmi Nadelmann	['baroque', 'opera', 'house']
Olivia Schenkel	None
Olivier Darbellay	None
Olivier Mas	None
Omar Gudjonsson	None
Omar Kramis	None
Omri Ziegele	None
On-Off	['rock']
Or Illi	None
Or Schnyder	None
Or Töngi	None
Oscar García	None
Oskar Gudjonsson	None
Oswal Canales	None
Othella Dallas	None
Oy Division	None
Paco de Amparo	None
Paolo Vignaroli	None
Pascal Viglino	None
Pat Hargreaves	None
Patrice Moret	None
Patricia Draeger	None
Patricia Kunz	None
Patrik Fitzgerald	['punk', 'folk', 'rock', 'house', 'unknown']
Patrik Zosso	None
Paul Barrere	['rock', 'cajun', 'blues', 'funk', 'mambo']
Paul Clarvis	['tone', 'son']
Paul Kleber	None
Paul Märki	None
Paulo Ferreira-Lopes	None
Pete Borel	None
Peter Conradin Zumthor	None
Peter Horisberger	None
Peter Hunziker	None
Peter Keller	None
Peter Livers	None
Peter Preibisch	None
Peter Scheidegger	None
Peter Schmidlin	None
Peter Schneider	None
Peter Tico Keller	None
Peter Trachsel	None
Petra Vogel	None
Petrit Ceku	['classical']
Philippe Emanuel Haas	None
Pierre Bernhard	None
Pierre Favre	['house', 'latin']
Pieter Wispelwey	['baroque', 'opera', 'classical', 'house']
Pikku E	None
Pink Pedrazzi	None
