Davos	(46.8027453, 9.835970099999999)
Degen	(46.70692690000001, 9.1702885)
Degersheim	(47.3738511, 9.200308099999999)
Delemont	(47.365837, 7.345155500000001)
Delle	(47.50752, 6.997808)
Dielsdorf	(47.4824169, 8.453504299999999)
Dienerstrasse 33, 8004 Zürich	(47.3781229, 8.527482599999999)
Dienerstrasse 33, 8004, Zürich	(47.3781229, 8.527482599999999)
Dietikon	(47.4053885, 8.39977)
Dietlikon	(47.42519859999999, 8.6162283)
Dini-Mueter	(47.3747586, 8.5247045)
District-4	(35.75007960000001, 51.5255214)
Divonne Les Bains	(46.358168, 6.136039999999999)
Dolder-Sports	(47.3752136, 8.576752299999999)
Dornach	(47.4790491, 7.6170412)
Dornacherstrasse 192, 4053 Basel	(47.540964, 7.593107900000001)
Dottikon	(47.3830192, 8.2430405)
Dracula-Club	(46.5015831, 9.8473965)
Dreispitz-Sport-&-Kulturzentrum	(47.6473333, 9.177676800000002)
Duedingen	(46.8464198, 7.191017899999999)
Dynamo	(47.383401, 8.539382)
Dübendorf	(47.3971476, 8.618012799999999)
Düdingen	(46.8464198, 7.191017899999999)
Dürnten	(47.266564, 8.8505112)
Ebikon	(47.0813181, 8.3407402)
Ecole de Médecine 7, 1205 Geneva	(46.19720299999999, 6.1386034)
Edlibach	(47.18118, 8.5738)
Effretikon	(47.4272742, 8.6903376)
Eglisau	(47.5762223, 8.521980899999999)
Einsiedeln	(47.127353, 8.7451537)
Eisenwerk	(47.5610445, 8.894007799999999)
Eishalle-Wetzikon	(47.3150749, 8.7995775)
El-Lokal	(47.37437750000001, 8.5336345)
Elgg	(47.4910721, 8.866546099999999)
Embrach	(47.509856, 8.5938067)
Emmenbr?cke	(47.07723379999999, 8.275637)
Emmenbrücke	(47.07723379999999, 8.275637)
Emmenweidstrasse 20, 6020	(47.0736071, 8.2746056)
Englers-am-See	(47.4785335, 9.4927966)
Ennenda	(47.0338781, 9.077552899999999)
Ennetb?rgen	(46.9851573, 8.413513)
Ennetbaden	(47.4795038, 8.314324899999999)
Ennetbürgen	(46.9851573, 8.413513)
Epalinges	(46.54885729999999, 6.674199)
Erlach	(47.0434885, 7.0968065)
Erlen	(47.5518448, 9.2265297)
Erlenmattstrasse 23, 4056 Basel	(47.5701912, 7.600934)
Erlenstrasse 21-32, 4058, Basel	(47.56887769999999, 7.599246200000001)
Erlenstrasse 34, 4058 Basel	(47.5683173, 7.6004001)
Erlenstrasse 5, Basel, BS 4058	(47.5706952, 7.598693499999999)
Erlenstrasse 59, 4057, Basel	(47.5690053, 7.6016447)
Ermatingen	(47.669301, 9.079937100000002)
Ernen	(46.39850010000001, 8.1457733)
Erschwil	(47.3732135, 7.541171400000001)
Eschlikon	(47.463985, 8.966738399999999)
Espace-Malley	(46.5287824, 6.600186900000001)
Espl. Léopold-Robert 2, 2000 Neuchâtel	(46.9913161, 6.935866)
Esplanade de l'ancienne gare, 1700 Fribourg	(46.80158429999999, 7.150254899999999)
Esse-Musicbar	(47.5021488, 8.7243569)
