	[]
Maja Hermann	[]
Maki Wiederkehr	[]
Manu Hagmann	[]
Manuel Blanco Gómez-Limón	[]
Manuel Delago	[]
Marc Almond	['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']
Marc Kakon	[]
Marc Reinhard	[]
Marc Storace	[]
Marc Stucki	[]
Marc Unternährer	[]
Marcel Jeker	[]
Marcel Riesen	[]
Marco Andrey	[]
Marco Bartoli	[]
Maren Böll	[]
Marianne Racine-Granvik	[]
Marielle Labèque	[]
Marija Wüthrich-Savicevic	[]
Mario Biondi	['italian arena pop', 'italian jazz', 'italian pop']
Mario Hänni	[]
Mario Söldi	[]
Mario von Holten	[]
Mark Berube	[]
Mark Tenger	[]
Markus Eichenberger	[]
Markus Fürst	[]
Markus Lauterburg	[]
Markus Schmidt	[]
Markus Schmied	[]
Marlon Roudette	['german pop rock']
Martin Frutiger	[]
Martin Günthardt	[]
Martin Hässler	[]
Martin Jaggi	[]
Martin Rabensteiner	[]
Martina Anselmo	[]
Marysol Schalit	[]
Master-Abschlussrezital Florin Grüter	[]
Mathias Harter	[]
Mathieu Friz	[]
Matt Graf	[]
Matt Simons	['deep tropical house', 'neo mellow', 'singer-songwriter', 'tropical house']
Matthias Rácz	[]
Matthieu Camilleri	[]
Matthieu Michel	[]
Maurice Steger	[]
Mauro Martins	[]
Mavis Staples	['country blues', 'funk', 'jazz blues', 'memphis soul', 'modern blues', 'new orleans blues', 'roots rock', 'soul', 'soul blues', 'soul christmas', 'southern soul']
Max Asselborn	[]
Max Sonnleitner	[]
Maxence Sibille	[]
Maximilian Hecker	['folk christmas', 'melancholia']
Maya Avraham	['israeli rock', 'mizrahi']
Melissa Aldana	[]
Menwar	['sega']
Messer Chups & Zombirella	[]
Mich Gerber	['new tribe']
Micha Held	[]
Michael Baumann	[]
Michael Büttler	[]
Michael Erni	[]
Michael Gregorio	[]
Michael Reid	[]
Michael Schenker	['album rock', 'blues-rock', 'glam metal', 'hard rock', 'metal', 'nwobhm', 'rock']
Michael von Schönermark	[]
Michel Godard	[]
Michel Rouilly	[]
Michi Finger	[]
Michiko Hirayama	[]
Mihai Cocea	[]
Mija Läuchli	[]
Mike & the Mechanics	['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']
Mikheil Sheshaberidze	[]
Mirel Wagner	['finnish pop']
Mischa Greull	[]
Misha Alperin	[]
Monte Carlo	[]
Monty Alexander	['cool jazz', 'soul jazz', 'stride']
Monty Alexander's Triple Treat	[]
