,location,event,date,artists,genre,coordinates
1251,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-29,[EMEL MATHLOUTHI],,"(46.29413110000001, 7.533536199999999)"
1252,Bale (Basel),SONISPHERE SUISSE,2014-07-04,[METALLICA],,"(47.5595986, 7.5885761)"
1253,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-05,"[THE TWO, CHRIS REA, EVERLAST, SELAH SUE, CHEYENNE, JOKARI, UGLY KIDS]",,"(46.4312213, 6.9106799)"
1254,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-06,"[FIDDLERS GREEN, FLORA, TEDESCHI TRUCKS BAND, MAGOS HERRERA, TEMPLES, ALIM QASIMOV, THE CHIKITAS, KLANGKARUSSELL, ETIENNE DE CRECY]",,"(46.4312213, 6.9106799)"
1255,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-07,"[TIMBER TIMBRE, BIG BANG EJMA VALAIS, PHARRELL WILLIAMS, LEE RITENOUR, PASSENGER, REVOX, SONNY CATANESE, LA FINE EQUIPE (LFE)]",,"(46.4312213, 6.9106799)"
1256,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-08,"[DEJA VU JAZZ BAND, NEIL COWLEY, RODRIGO Y GABRIELA, NEIL COWLEY, MGMT, JULIAN SARTORIUS, THE ANGRY CATS, ASKERY, DANIEL AVERY]",,"(46.4312213, 6.9106799)"
1257,Sierre,SIERRE BLUES FESTIVAL,2014-07-09,[POPA CHUBBY],,"(46.29413110000001, 7.533536199999999)"
1258,Sierre,SIERRE BLUES FESTIVAL,2014-07-10,[URIAH HEEP],,"(46.29413110000001, 7.533536199999999)"
1259,Sierre,SIERRE BLUES FESTIVAL,2014-07-11,[GOTTHARD],,"(46.29413110000001, 7.533536199999999)"
1260,Sierre,SIERRE BLUES FESTIVAL,2014-07-12,[JONNY LANG],,"(46.29413110000001, 7.533536199999999)"
1261,Sierre,SIERRE BLUES FESTIVAL,2014-07-13,[BASTIAN BAKER],,"(46.29413110000001, 7.533536199999999)"
1262,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-14,"[MGS / MANCHESTER GRAMMAR SCHOOL JAZZ, DR JOHN & THE NITE TRIPPERS, JERRY LEONIDE, OH! TIGER MOUNTAIN, SKATERS, SALVATORE FREDA, NINA KRAVIZ]",,"(46.4312213, 6.9106799)"
1263,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-15,"[MGS / MANCHESTER GRAMMAR SCHOOL JAZZ, VAN MORRISON, DAVE HOLLAND, RY X, THE FORKS, FRED LILLA, ELLEN ALLIEN]",,"(46.4312213, 6.9106799)"
1264,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-16,"[MACEO PARKER, STEVIE WONDER, DIRTY LOOPS, EARL SWEATSHIRT, DISAGONY, DJ DOO GOOD]",,"(46.4312213, 6.9106799)"
1265,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,"[ANNAKIN, MICHAEL KIWANUKA, BENJAMIN CLEMENTINE, VON PARIAHS, KRUGER, MIRKO LOKO, N'TO]",,"(46.4312213, 6.9106799)"
1266,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-18,"[TWEEK, RICHARD GALLIANO, ROCKY, RANDOM GOD, ASTON MARTINEZ, DJ KOFFI]",,"(46.4312213, 6.9106799)"
1267,Fribourg,LES GEORGES,2014-07-20,[THE WACKIDS],,"(46.8064773, 7.161971899999999)"
1268,Geneve,FETES DE GENEVE,2014-07-21,[FAADA FREDDY],,"(46.2043907, 6.1431577)"
1269,Nyon,PALEO FESTIVAL,2014-07-23,[STROMAE],,"(46.3832683, 6.2347852)"
1270,Nyon,PALEO FESTIVAL,2014-07-24,[ELTON JOHN],,"(46.3832683, 6.2347852)"
1271,Nyon,PALEO FESTIVAL,2014-07-26,[JAMES BLUNT],,"(46.3832683, 6.2347852)"
1272,Nyon,PALEO FESTIVAL,2014-07-27,[PLACEBO],,"(46.3832683, 6.2347852)"
1273,Geneve,FETES DE GENEVE,2014-07-28,[TOBY MAY],,"(46.2043907, 6.1431577)"
1274,Geneve,FETES DE GENEVE,2014-07-29,[RASPAIL],,"(46.2043907, 6.1431577)"
1275,Geneve,FETES DE GENEVE,2014-07-30,[FREDY MASSAMBA],,"(46.2043907, 6.1431577)"
1276,Geneve,MA GASH FESTIVAL,2014-07-31,[BEENIE MAN],,"(46.2043907, 6.1431577)"
1277,Geneve,FETES DE GENEVE,2014-08-02,[SONIC RADE],,"(46.2043907, 6.1431577)"
1278,Geneve,FETES DE GENEVE,2014-08-03,[THE BISHOPS],,"(46.2043907, 6.1431577)"
1279,Geneve,FETES DE GENEVE,2014-08-05,[THE RAMBLING WHEELS],,"(46.2043907, 6.1431577)"
1280,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-06,[BLACK LIPS],,"(46.1049798, 7.075533399999999)"
1281,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-07,[AGNOSTIC FRONT],,"(46.1049798, 7.075533399999999)"
