,location,event,date,artists
1223,La Chaux de Fond,OTHERJAZZ FESTIVAL,2014-02-21,[IKUE MORI]
1224,Saignelegier,OTHERJAZZ FESTIVAL,2014-02-22,[POTAGE DU JOUR]
1225,La Chaux de Fond,OTHERJAZZ FESTIVAL,2014-02-23,[MARTEAU ROUGE]
1226,La Chaux de Fond,MURS DU SON A CAROUGE,2014-03-14,[STEFANO DI BATTISTA]
1227,Fribourg,DUPLEX,2014-04-25,[GREG SHEPHERD]
1228,Fribourg,DUPLEX,2014-04-26,[KIDKANEVIL]
1229,Yverdon Les Bains,SWISS PSYCH FEST,2014-05-09,[THE OSCILLATION]
1230,Yverdon Les Bains,SWISS PSYCH FEST,2014-05-10,[THE TELESCOPES]
1231,Lausanne,BALEINEV,2014-05-23,[BAD NELSON]
1232,Bulle,FRANCOMANIAS,2014-05-27,[LOUIS CHEDID]
1233,Bulle,FRANCOMANIAS,2014-05-28,[BEN L'ONCLE SOUL]
1234,Bulle,FRANCOMANIAS,2014-05-29,[GAETAN ROUSSEL]
1235,Bulle,FRANCOMANIAS,2014-05-30,[PLAZA FRANCIA (CATHERINE RINGER / MULLER & MAKAROFF )]
1236,Bulle,FRANCOMANIAS,2014-05-31,[KEZIAH JONES]
1237,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-05,[SUROIT]
1238,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-06,"[DIANE TELL, LES COWBOYS FRINGANTS]"
1239,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-07,"[KARIM OUELLET, LES COWBOYS FRINGANTS]"
1240,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-08,"[CLAUD MICHAUD, ANDRE PHILIPPE GAGNON]"
1241,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-09,"[ROBERT CHARLEBOIS, ANTHONY KAVANAGH]"
1242,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-10,"[RICHARD DESJARDINS, LES TROIS ACCORDS]"
1243,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-11,"[ISABELLE BOULAY, ALEXANDRE POULIN]"
1244,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-12,"[FLORENT VOLLANT, ROCH VOISINE]"
1245,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-13,"[ISABELLE BOULAY, LYNDA LEMAY]"
1246,Neuchatel,FESTI NEUCH,2014-06-14,[THE ROOTS]
1247,Neuchatel,FESTI NEUCH,2014-06-15,[BASTIAN BAKER]
1248,Payerne,RED PIGS FESTIVAL,2014-06-19,[GERALD DE PALMAS]
1249,Payerne,RED PIGS FESTIVAL,2014-06-20,[JUNIOR TSHAKA]
1250,Payerne,RED PIGS FESTIVAL,2014-06-21,[KYASMA]
1251,Cully,LAVAUX CLASSIQUE,2014-06-22,"[JOACHIM CARR, LES PASSIONS DE L'AME]"
1252,Cully,LAVAUX CLASSIQUE,2014-06-24,[BORIS BEREZOVSKY]
1253,Cully,LAVAUX CLASSIQUE,2014-06-25,[NICHOLAS ANGELICH]
1254,Cully,LAVAUX CLASSIQUE,2014-06-26,"[MARIO BRUNELLO, CAMILLE THOMAS]"
1255,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-27,[MOP MOP (INSTRUMENTAL COMBO)]
1256,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-28,[SYNAPSON]
1257,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-29,[EMEL MATHLOUTHI]
1258,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-05,"[THE TWO, CHRIS REA, EVERLAST, SELAH SUE, CHEYENNE, JOKARI, UGLY KIDS]"
1259,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-06,"[FIDDLERS GREEN, FLORA, TEDESCHI TRUCKS BAND, MAGOS HERRERA, TEMPLES, ALIM QASIMOV, THE CHIKITAS, KLANGKARUSSELL, ETIENNE DE CRECY]"
1260,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-07,"[TIMBER TIMBRE, BIG BANG EJMA VALAIS, PHARRELL WILLIAMS, LEE RITENOUR, PASSENGER, REVOX, SONNY CATANESE, LA FINE EQUIPE (LFE)]"
1261,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-08,"[DEJA VU JAZZ BAND, NEIL COWLEY, RODRIGO Y GABRIELA, NEIL COWLEY, MGMT, JULIAN SARTORIUS, THE ANGRY CATS, ASKERY, DANIEL AVERY]"
1262,Sierre,SIERRE BLUES FESTIVAL,2014-07-11,[GOTTHARD]
1263,Sierre,SIERRE BLUES FESTIVAL,2014-07-12,[JONNY LANG]
1264,Sierre,SIERRE BLUES FESTIVAL,2014-07-13,[BASTIAN BAKER]
1265,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-14,"[MGS / MANCHESTER GRAMMAR SCHOOL JAZZ, DR JOHN & THE NITE TRIPPERS, JERRY LEONIDE, OH! TIGER MOUNTAIN, SKATERS, SALVATORE FREDA, NINA KRAVIZ]"
1266,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-15,"[MGS / MANCHESTER GRAMMAR SCHOOL JAZZ, VAN MORRISON, DAVE HOLLAND, RY X, THE FORKS, FRED LILLA, ELLEN ALLIEN]"
1267,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-16,"[MACEO PARKER, STEVIE WONDER, DIRTY LOOPS, EARL SWEATSHIRT, DISAGONY, DJ DOO GOOD]"
1268,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,"[ANNAKIN, MICHAEL KIWANUKA, BENJAMIN CLEMENTINE, VON PARIAHS, KRUGER, MIRKO LOKO, N'TO]"
1269,Montreux,MONTREUX JAZZ FESTIVAL,2014-07-18,"[TWEEK, RICHARD GALLIANO, ROCKY, RANDOM GOD, ASTON MARTINEZ, DJ KOFFI]"
1270,Fribourg,LES GEORGES,2014-07-20,[THE WACKIDS]
1271,Geneve,FETES DE GENEVE,2014-07-21,[FAADA FREDDY]
1272,Nyon,PALEO FESTIVAL,2014-07-22,[THE BLACK KEYS]
1273,Nyon,PALEO FESTIVAL,2014-07-23,[STROMAE]
1274,Nyon,PALEO FESTIVAL,2014-07-24,[ELTON JOHN]
1275,Nyon,PALEO FESTIVAL,2014-07-25,[THE PRODIGY]
1276,Nyon,PALEO FESTIVAL,2014-07-26,[JAMES BLUNT]
1277,Nyon,PALEO FESTIVAL,2014-07-27,[PLACEBO]
1278,Geneve,FETES DE GENEVE,2014-07-28,[TOBY MAY]
1279,Geneve,FETES DE GENEVE,2014-07-29,[RASPAIL]
1280,Geneve,FETES DE GENEVE,2014-07-30,[FREDY MASSAMBA]
1281,Geneve,MA GASH FESTIVAL,2014-07-31,[BEENIE MAN]
1282,Geneve,MA GASH FESTIVAL,2014-08-01,[DJ KLASH]
1283,Geneve,FETES DE GENEVE,2014-08-02,[SONIC RADE]
1284,Geneve,FETES DE GENEVE,2014-08-03,[THE BISHOPS]
1285,Geneve,FETES DE GENEVE,2014-08-05,[THE RAMBLING WHEELS]
1286,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-06,[BLACK LIPS]
1287,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-07,[AGNOSTIC FRONT]
1288,Sion,GUINNESS IRISH FESTIVAL,2014-08-08,[LE VENT DU NORD]
1289,Geneve,MA GASH FESTIVAL,2014-08-09,[MA GASH INTL]
1290,Pregny,PREGNY ALP FESTIVAL,2014-08-10,[LA BRANTE DE BERNEX]
1291,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-11,[NAPALM DEATH]
1292,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-12,[RED FANG]
1293,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-13,[RED FANG]
1294,Chene Bougeries,BIMBADABOUM FESTIVAL,2014-08-14,[SONIA GRIMM]
1295,Le Locle,ROCK ALTITUDE,2014-08-15,[DOWN]
1296,Le Locle,ROCK ALTITUDE,2014-08-16,[MORCHEEBA]
1297,Chene Bougeries,BIMBADABOUM FESTIVAL,2014-08-17,[HENRI DES]
1298,Pully,PULLY FOR NOISE,2014-08-21,[ANNA AARON]
1299,Pully,PULLY FOR NOISE,2014-08-22,[JEAN LOUIS MURAT]
1300,Pully,PULLY FOR NOISE,2014-08-23,[THURSTON MOORE (SONIC YOUTH)]
1301,Montreux,SEPTEMBRE MUSICAL,2014-08-28,[ALISA WEILERSTEIN]
1302,Montreux,SEPTEMBRE MUSICAL,2014-08-29,[RUSSIAN NATIONAL ORCHESTRA]
1303,Montreux,SEPTEMBRE MUSICAL,2014-08-30,[RUSSIAN NATIONAL ORCHESTRA]
1304,Vevey,SEPTEMBRE MUSICAL,2014-09-01,[DELPHINE BARDIN]
1305,Veytaux,SEPTEMBRE MUSICAL,2014-09-02,[CONRAD TAO]
1306,Veytaux,SEPTEMBRE MUSICAL,2014-09-03,[JULIEN QUENTIN]
1307,Veytaux,SEPTEMBRE MUSICAL,2014-09-04,[QUATUOR VAN KUIJK]
1308,Veyras en Valais,TOHU BOHU A VEYRAS,2014-09-05,[FAUVE]
1309,Veyras en Valais,TOHU BOHU A VEYRAS,2014-09-06,[SELAH SUE]
1310,Montreux,SEPTEMBRE MUSICAL,2014-09-07,[YOUTH ORCHESTRA OF BAHIA]
1311,Montreux,SEPTEMBRE MUSICAL,2014-09-08,[YOUTH ORCHESTRA OF BAHIA]
1312,Montreux,SEPTEMBRE MUSICAL,2014-09-09,[YOUTH ORCHESTRA OF BAHIA]
1313,Montreux,SEPTEMBRE MUSICAL,2014-09-10,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
1314,Montreux,SEPTEMBRE MUSICAL,2014-09-11,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
1315,Carouge,MURS DU SON A CAROUGE,2014-09-12,[RANDOM RAGE]
1316,Montreux,SEPTEMBRE MUSICAL,2014-09-13,[RUNDFUNK SINFONIEORCHESTER BERLIN]
1317,Zurich,CHANSONS EN STOK,2014-09-16,[KLO PELGAG]
1318,Zurich,CHANSONS EN STOK,2014-09-17,[CHARLOTTE PARFOIS / PEUT-ETRE]
1319,Zurich,CHANSONS EN STOK,2014-09-18,[WLADIMIR ANSELME]
1320,Zurich,CHANSONS EN STOK,2014-09-19,[YOANNA]
1321,Zurich,CHANSONS EN STOK,2014-09-20,[BENOIT PARADIS]
1322,Zurich,CHANSONS EN STOK,2014-09-21,"[ET COMMENT VOUS FAITES CHEZ VOUS ? (Ignatus et les Fr̬res Makouaya), TEN STRINGS AND A GOAT SKIN]"
1323,Delemont,NOTES D'EQUINOXE,2014-09-26,"[MISIA, BAYE MAGATTE]"
1324,Delemont,NOTES D'EQUINOXE,2014-09-27,"[KALA JULA (SAMBA DIABATE ET VINCENT ZANETTI), BARBIC DIVAS, VIOLONS BARBARES, PALENQUE, ERDAL ERZINCAN, FIDDLERS BIRD, LOS ORIOLES]"
1325,Delemont,NOTES D'EQUINOXE,2014-09-28,"[TRINACRIA, BARBIC DIVAS, CHOEUR D'HOMMES DE YAROSLAV, ELINA DUNI]"
1326,Carouge,JAZZCONTREBAND,2014-10-02,[CAULIFLOWER]
1327,Nyon,JAZZCONTREBAND,2014-10-03,[JIBCAE]
1328,Nyon,JAZZCONTREBAND,2014-10-04,[ABLAYE CISSOKO]
1329,Geneve,JAZZCONTREBAND,2014-10-05,[RALPH ALESSI]
1330,Lausanne,JAZZCONTREBAND,2014-10-06,[MARIE (MARIE GRILLET)]
1331,Seynod,JAZZCONTREBAND,2014-10-07,[CHIC STREET MAN]
1332,Yverdon Les Bains,JAZZCONTREBAND,2014-10-08,[FABIEN SEVILLA]
1333,Lausanne,JAZZCONTREBAND,2014-10-09,[JOHN DEAR]
1334,Le Lignon,VERNIER SUR ROCK,2014-10-10,[KYO]
1335,Le Lignon,VERNIER SUR ROCK,2014-10-11,[ANTHONY B]
1336,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-15,[MORTON SUBOTNIK]
1337,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-16,[JOHN DUNCAN]
1338,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-17,[WINTER FAMILY]
1339,Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-18,[COBRA]
1340,Carouge,JAZZCONTREBAND,2014-10-23,[FABIEN SEVILLA]
1341,Nyon,NYON'S ON FIRE,2014-10-24,[ARKONA]
1342,Nyon,NYON'S ON FIRE,2014-10-25,[BAK XIII]
1343,Lausanne,JAZZ ONZE +,2014-10-31,[SYLVIE COURVOISIER]
1344,Lausanne,JAZZ ONZE +,2014-11-01,[SUSANNE ABBUEHL]
1345,Lausanne,ZATELLIG,2014-11-05,[ONDUBGROUND (ODG)]
1346,Lausanne,ZATELLIG,2014-11-06,[CAULIFLOWER]
1347,Lausanne,METROPOP FESTIVAL,2014-11-07,[DANAKIL]
1348,Lausanne,METROPOP FESTIVAL,2014-11-08,[GRAMATIK]
1349,Bern,FESTIVAL SAINT GHETTO,2014-11-20,[ATOM TM]
1350,Bern,FESTIVAL SAINT GHETTO,2014-11-21,[BEN FROST]
1351,Pratteln,ROCK POWER FESTIVAL,2014-11-22,[BLAZE]
1352,Lausanne,LES URBAINES,2014-12-05,"[SSSS (Samuel Savenberg), MSHR]"
1353,Lausanne,LES URBAINES,2014-12-06,"[THE BONGOLEEROS, GRAUTON (Karen Geyer), DUBAIS, NIKI TIPHTICOGLOU]"
1354,Le Paquier,CHRISTMAS ROCK,2014-12-20,[STEVANS]
1355,Carouge,ANTIGEL,2015-01-23,[AL KENT]
1356,Geneve,ANTIGEL,2015-01-24,[WASULU SELECTA]
1357,Geneve,ANTIGEL,2015-01-25,[FINK]
1358,Confignon,ANTIGEL,2015-01-26,[STEWART WALKER]
1359,Geneve,ANTIGEL,2015-01-27,[EARTH]
1360,Perly-Certoux,ANTIGEL,2015-01-28,[XYLOURIS WHITE]
1361,Geneve,ANTIGEL,2015-01-29,"[ROSS DALY, DEAN BLUNT]"
1362,Le Lignon,ANTIGEL,2015-01-30,[GHOSTPOET]
1363,Collonge Bellerive,ANTIGEL,2015-01-31,[CHASSOL]
1364,Thonex,ANTIGEL,2015-02-01,[DJ SHADOW & CUT CHEMIST : RENEGADES OF RHYTHM]
1365,Troinex,ANTIGEL,2015-02-02,[TOUMANI ET SIDIKI DIABATE]
1366,Genthod,ANTIGEL,2015-02-03,[COLD SPECKS]
1367,Le Lignon,ANTIGEL,2015-02-04,[TRICKY]
1368,Onex,ANTIGEL,2015-02-05,[BOMBINO]
1369,Le Lignon,ANTIGEL,2015-02-06,[TINDERSTICKS]
1370,Veyrier,ANTIGEL,2015-02-07,[OLOF ARNALDS]
1371,Geneve,ANTIGEL,2015-02-08,[NISENNENMONDAI]
1372,Geneve,ANTIGEL,2015-02-25,[JONNY GREENWOOD]
1373,Martigny,ECHOOOES FESTIVAL,2015-02-27,[BONEY M]
1374,Martigny,ECHOOOES FESTIVAL,2015-02-28,[DJ OTHELLO]
1375,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-26,[DAVID RODIGAN]
1376,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-27,[JULIO BASHMORE]
1377,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-28,[BRANDT BRAUER FRICK]
1378,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-29,[MATTHEW HALSALL]
1379,Geneve,ELECTRON,2015-04-02,[BOYS NOIZE]
1380,Geneve,ELECTRON,2015-04-03,[JOHN TALABOT]
1381,Geneve,ELECTRON,2015-04-04,[SQUARE PUSHER]
1382,Geneve,ELECTRON,2015-04-05,[SBTRKT]
1383,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-16,[EST ESBJORN SVENSSON]
1384,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-17,[YARON HERMAN]
1385,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-19,[DINO SALUZZI]
1386,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-20,[STANLEY CLARKE]
1387,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-21,[TILL BRONNER]
1388,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-22,[ANOUAR BRAHEM]
1389,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-23,[MARC PERRENOUD]
1390,Lausanne,BALELEC,2015-05-08,[YANAC]
1391,Fribourg,DUPLEX,2015-05-15,[BAR9]
1392,Fribourg,DUPLEX,2015-05-16,[MARCEL VOGEL]
1393,La Chaux du Milieu,CORBAK,2015-05-20,"[4YGRECS, BZZZz (Olivier Gabus et Nathalie Dubois)]"
1394,La Chaux du Milieu,CORBAK,2015-05-21,"[NICOLAS FRAISSINET, YANAC]"
1395,La Chaux du Milieu,CORBAK,2015-05-22,[YAEL NAIM]
1396,La Chaux du Milieu,CORBAK,2015-05-23,[ARTHUR H]
1397,Duedingen,BAD BONN KILBI,2015-05-28,[THE BLACK ANGELS]
1398,Crissier,BLUES RULES CRISSIER,2015-05-29,[LUCKY PETERSON]
1399,Crissier,BLUES RULES CRISSIER,2015-05-30,[SCOTT H BIRAM]
1400,Aarberg,STARS OF SOUNDS,2015-06-03,[AMY MACDONALD]
1401,Pully,FESTIVAL'ENTRE2,2015-06-04,[NICOLAS FRAISSINET]
1402,Aarberg,STARS OF SOUNDS,2015-06-05,[JAN DELAY]
1403,Delle,PORRENTRUY-DELLE JAZZ FESTIVAL,2015-06-06,[FLORENT KIRCHMEYER]
1404,Neuchatel,FESTI NEUCH,2015-06-11,[HUBERT FELIX THIEFAINE]
1405,Neuchatel,FESTI NEUCH,2015-06-12,[FATBOY SLIM]
1406,Neuchatel,FESTI NEUCH,2015-06-13,[MILKY CHANCE]
1407,Neuchatel,FESTI NEUCH,2015-06-14,[YANNICK NOAH]
1408,Wohlen,TOUCH THE LAKE,2015-06-18,[GAVLYN]
1409,Wohlen,TOUCH THE LAKE,2015-06-19,[DABU FANTASTIC]
1410,Wohlen,TOUCH THE LAKE,2015-06-20,[RA THE RUGGED MAN]
1411,Cully,LAVAUX CLASSIQUE,2015-06-21,"[CREATIV' HARP, DMITRI DEMIASHKIN, CEDRIC TIBERGHIEN]"
1412,Cully,LAVAUX CLASSIQUE,2015-06-23,[HELMUT DEUTSCH]
1413,Cully,LAVAUX CLASSIQUE,2015-06-24,[MARC ANDRE HAMELIN]
1414,Saint Gallen,OPEN AIR DE SAINT GALLEN,2015-06-25,[FRANK TURNER]
1415,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2015-06-26,[FAKEAR]
1416,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2015-06-27,[NIGHTMARES ON WAX]
1417,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2015-06-28,[THE TWO]
1418,Geneve,MUSIQUES EN ETE,2015-07-02,[ORCHESTRE DE LA SUISSE ROMANDE]
1419,Geneve,MUSIQUES EN ETE,2015-07-03,[AZIZ SAHMAOUI]
1420,Montreux,MONTREUX JAZZ FESTIVAL,2015-07-04,"[SINEAD O'CONNOR, BUGGE WESSELTOFT, THYLACINE]"
1421,Montreux,MONTREUX JAZZ FESTIVAL,2015-07-05,"[THE CHEMICAL BROTHERS, TOMMY CASTRO, FOXYGEN]"
1422,Geneve,MUSIQUES EN ETE,2015-07-06,[BRAD MEHLDAU]
1423,Geneve,MUSIQUES EN ETE,2015-07-07,[OPERA DE CHAMBRE DE GENEVE]
1424,Sierre,SIERRE BLUES FESTIVAL,2015-07-08,[THE TWO]
1425,Munchenstein,SUMMERSTAGE BASEL,2015-07-09,[MAX HERRE & KAHEDI RADIO ORCHESTRA]
1426,Munchenstein,SUMMERSTAGE BASEL,2015-07-10,[KATIE MELUA]
1427,Munchenstein,SUMMERSTAGE BASEL,2015-07-11,[PATENT OCHSNER]
1428,Sierre,SIERRE BLUES FESTIVAL,2015-07-12,[JEROME PIETRI]
1429,Geneve,MUSIQUES EN ETE,2015-07-13,[GREGOIRE MARET]
1430,Geneve,MUSIQUES EN ETE,2015-07-14,[DAVID GRIMAL]
1431,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-15,[DEVIN TOWNSEND]
1432,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-16,[MALIA]
1433,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-17,[ERNIE WATTS]
1434,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-18,[KYLE EASTWOOD]
1435,Zurich,LIVE AT SUNSET,2015-07-19,[XAVIER NAIDOO]
1436,Nyon,PALEO FESTIVAL,2015-07-20,[ROBBIE WILLIAMS]
1437,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-21,[TERROR]
1438,Nyon,PALEO FESTIVAL,2015-07-22,[STING]
1439,Nyon,PALEO FESTIVAL,2015-07-23,[JOHNNY HALLYDAY]
1440,Nyon,PALEO FESTIVAL,2015-07-24,[120 SECONDES PRESENTE LA SUISSE (KUCHOLL ET VEILLON)]
1441,Sion,PALP FESTIVAL (PLACE A LA PLACE),2015-07-25,[BLACK YAYA]
1442,Nyon,PALEO FESTIVAL,2015-07-26,[LOUIS SCHWIZGEBEL WANG]
1443,Geneve,MUSIQUES EN ETE,2015-07-27,[ROY HARGROVE]
1444,Geneve,MUSIQUES EN ETE,2015-07-28,[STEPHAN GENZ]
1445,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-29,[BARON SAMEDI]
1446,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-30,[ZOUFRIS MARACAS]
1447,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-31,[KABAK]
1448,Geneve,FETES DE GENEVE,2015-08-01,[ALIOSE]
1449,Geneve,FETES DE GENEVE,2015-08-02,[THOMAS SCHOEFFLER JR]
1450,Geneve,MUSIQUES EN ETE,2015-08-03,[SONS OF KEMET]
1451,Geneve,MUSIQUES EN ETE,2015-08-04,[ORCHESTRE DE CHAMBRE DE GENEVE]
1452,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-08-05,[MACAO]
1453,Geneve,MUSIQUES EN ETE,2015-08-06,[NELSON GOERNER]
1454,Geneve,MUSIQUES EN ETE,2015-08-07,[MAZALDA]
1455,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-08-08,[THE DANSANT]
1456,Geneve,FETES DE GENEVE,2015-08-09,[UROS PERICH]
1457,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-08-10,[MADBALL]
1458,Geneve,MUSIQUES EN ETE,2015-08-11,[IL GIARDINO ARMONICO]
1459,Le Locle,ROCK ALTITUDE,2015-08-12,[THE DILLINGER ESCAPE PLAN]
1460,Le Locle,ROCK ALTITUDE,2015-08-13,[CHARLIE WINSTON]
1461,Le Locle,ROCK ALTITUDE,2015-08-14,[LOFOFORA]
1462,Le Locle,ROCK ALTITUDE,2015-08-15,[INTERPOL]
1463,Geneve,MUSIQUES EN ETE,2015-08-19,[MARCELO D2]
1464,Penthalaz,VENOGE FESTIVAL,2015-08-20,[UB40]
1465,Penthalaz,VENOGE FESTIVAL,2015-08-21,[KADEBOSTANY]
1466,Penthalaz,VENOGE FESTIVAL,2015-08-22,[SEETHER]
1467,Gampel,OPEN AIR DE GAMPEL,2015-08-23,[CLUESO]
1468,Geneve,FESTIVAL DE LA BATIE,2015-08-28,[GIRLS IN HAWAII]
1469,Geneve,FESTIVAL DE LA BATIE,2015-08-29,[JOAKIM]
1470,Geneve,FESTIVAL DE LA BATIE,2015-08-31,[MARK LANEGAN]
1471,Geneve,FESTIVAL DE LA BATIE,2015-09-01,[STEPHAN EICHER]
1472,Geneve,FESTIVAL DE LA BATIE,2015-09-02,[PITA]
1473,Geneve,FESTIVAL DE LA BATIE,2015-09-03,[GLI ANGELI]
1474,Veyras en Valais,TOHU BOHU A VEYRAS,2015-09-04,[CHARLIE WINSTON]
1475,Veyras en Valais,TOHU BOHU A VEYRAS,2015-09-05,[YOUSSOUPHA]
1476,Geneve,FESTIVAL DE LA BATIE,2015-09-07,[MALCOM MIDDLETON]
1477,Geneve,FESTIVAL DE LA BATIE,2015-09-08,[PIERRE OMER]
1478,Geneve,FESTIVAL DE LA BATIE,2015-09-09,[DJ YANN]
1479,Nyon,FESTIVAL DE LA BATIE,2015-09-10,[SONNY AND THE SUNSETS]
1480,Carouge,MURS DU SON A CAROUGE,2015-09-11,[THE FIVE HILLS]
1481,Carouge,MURS DU SON A CAROUGE,2015-09-12,[RANDOM RAGE]
1482,Zurich,CHANSONS EN STOK,2015-09-15,[THIERRY ROMANENS]
1483,Zurich,CHANSONS EN STOK,2015-09-16,[BOULE]
1484,Zurich,CHANSONS EN STOK,2015-09-17,[BERTRAND LOUIS]
1485,Renens,TABARNAK DE FESTIVAL,2015-09-18,[KAIN (folk)]
1486,Renens,TABARNAK DE FESTIVAL,2015-09-19,[DANIEL BOUCHER]
1487,Renens,TABARNAK DE FESTIVAL,2015-09-20,[KADEBOSTANY]
1488,Lausanne,HOLY GROOVE FESTIVAL,2015-09-30,[THE TWO]
1489,Chamonix Mont Blanc,JAZZCONTREBAND,2015-10-01,[MARIAN BADOI]
1490,Geneve,JAZZCONTREBAND,2015-10-02,[DOUG HAMMOND]
1491,Geneve,JAZZCONTREBAND,2015-10-03,[MARCOS JIMENEZ]
1492,Geneve,JAZZCONTREBAND,2015-10-05,[HORACIO FUMERO]
1493,Seynod,JAZZCONTREBAND,2015-10-06,[STEFANO SACCON]
1494,Annecy,JAZZCONTREBAND,2015-10-07,[L'IRONIE DU SON]
1495,Yverdon Les Bains,JAZZCONTREBAND,2015-10-08,[OLIVIA PEDROLI]
1496,Le Lignon,VERNIER SUR ROCK,2015-10-09,[YOUSSOUPHA]
1497,Le Lignon,VERNIER SUR ROCK,2015-10-10,[NO ONE IS INNOCENT]
1498,Gstaad,MDRNTY,2015-10-11,[MACEO PLEX  (MAETRIK)]
1499,Annemasse,JAZZCONTREBAND,2015-10-14,[AVISHAI COHEN (contrebasse)]
1500,Seynod,JAZZCONTREBAND,2015-10-15,[RICHARD BONA]
1501,Annecy,JAZZCONTREBAND,2015-10-16,[MATTHIEU LLODRA]
1502,Saint Claude,JAZZCONTREBAND,2015-10-17,[DAVID CHEVALLIER (SONART)]
1503,Geneve,JAZZCONTREBAND,2015-10-18,[OHAD TALMOR]
1504,Geneve,JAZZCONTREBAND,2015-10-19,[JACQUES SIRON]
1505,Nyon,NYON'S ON FIRE,2015-10-23,[ABORTED]
1506,Nyon,NYON'S ON FIRE,2015-10-24,[BLACK BOMB A]
1507,Lausanne,FESTIVAL BACH DE LAUSANNE,2015-10-25,[ENSEMBLE BAROQUE ORFEO]
1508,Lausanne,JAZZ ONZE +,2015-10-28,[CHINA MOSES]
1509,Lausanne,JAZZ ONZE +,2015-10-31,[GABRIEL ZUFFEREY]
1510,Lausanne,METROPOP FESTIVAL,2015-11-05,[ALPHA BLONDY]
1511,Lausanne,METROPOP FESTIVAL,2015-11-06,[CALEXICO]
1512,Lausanne,METROPOP FESTIVAL,2015-11-07,[ARCHIVE]
1513,Lausanne,JAZZ ONZE +,2015-11-11,[WADADA LEO SMITH]
1514,Bern,FESTIVAL SAINT GHETTO,2015-11-19,[OLOF ARNALDS]
1515,Bern,FESTIVAL SAINT GHETTO,2015-11-20,[NENEH CHERRY & ROCKETNUMBERNINE]
1516,Bern,FESTIVAL SAINT GHETTO,2015-11-21,[BIANCA CASADY]
1517,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-26,[MIMETIC]
