,location,event,date,artists
209,Neuchatel,OTHERJAZZ FESTIVAL,2008-02-20,[LUCIEN DUBUIS]
210,Neuchatel,OTHERJAZZ FESTIVAL,2008-02-21,[DONKEY MONKEY]
211,Sciez sur Leman,VIBRATIONS METISSAGES,2008-02-22,[ASTONVILLA]
212,Sciez sur Leman,VIBRATIONS METISSAGES,2008-02-23,[SYRANO]
213,Geneve,ELECTRON,2008-03-20,[AUTECHRE]
214,Geneve,ELECTRON,2008-03-21,[DOP]
215,Geneve,ELECTRON,2008-03-22,[MACKIE]
216,Geneve,ELECTRON,2008-03-23,[LULUXPO]
217,Montreux,MOTION OPENAIR,2008-04-03,[CARL COX]
218,Montreux,MOTION OPENAIR,2008-04-04,[MICROPOINT]
219,Montreux,MOTION OPENAIR,2008-04-05,[SIMON DUNMORE]
220,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-18,[RANDY WESTON]
221,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-19,[ANDY SCHERRER]
222,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-20,"[TORD GUSTAVSEN, ANGELIQUE KIDJO]"
223,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-21,"[MARC BUKHALTER, KASPAR EWALD'S]"
224,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-22,"[CHRISTIAN MUTHSPIEL, GABRIEL BEUERLE]"
225,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-23,"[LUCAS NIGGLI, NOEMI CAMPISI]"
226,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-24,[TIM BERNE]
227,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-25,"[MIROSLAV VITOUS, MARIA PIA DE VITO]"
228,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-26,[LADY BIRD JAZZTET]
229,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-27,[STEPHAN KURMANN]
230,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-28,[WAYNE SHORTER]
231,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-29,"[RICHARD BONA, DAVE WECKL]"
232,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-30,[JOE LOVANO]
233,Bale (Basel),JAZZFESTIVAL BASEL,2008-05-01,[ROBERTO FONSECA]
234,Bulle,FRANCOMANIAS,2008-05-02,"[NOUR, AaRON]"
235,Bulle,FRANCOMANIAS,2008-05-03,[JULIEN VICTOR]
236,La Chaux du Milieu,CORBAK,2008-05-08,[HOMMAGE A CLAUDE NOUGARO]
237,Boulogne Sur Mer,JAZZFESTIVAL BASEL,2008-05-09,[BALAZS NYARI]
238,La Chaux du Milieu,CORBAK,2008-05-10,[TETES RAIDES]
239,Winterthur,AFRO - PFINGSTEN,2008-05-11,[SOKAN]
240,Lausanne,BALELEC,2008-05-16,[PUNISH YOURSELF]
241,Sierre,SISMICS FESTIVAL,2008-05-21,[RYAN HAWKIN]
